group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,always_mistral_nemo,0.688,8.764720000000002e-06,0.688,0.224,0.0,0.776
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,always_llama_70b,0.888,5.057821599999999e-05,0.888,0.024,0.0,0.224
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,random,0.792,2.857308e-05,0.792,0.12,0.0,0.488
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,oracle,0.912,2.0738360000000002e-05,0.912,0.0,0.0,1.0
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,logistic_router,0.792,1.6981039999999998e-05,0.792,0.12,0.0,0.808
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,random_forest_router,0.8,1.790168e-05,0.8,0.112,0.0,0.8
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",231,tfidf_logistic_router,0.8,1.571824e-05,0.8,0.112,0.0,0.856
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,always_mistral_nemo,0.728,8.343599999999998e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,always_llama_70b,0.912,4.825988e-05,0.912,0.032,0.0,0.216
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,random,0.776,2.4336279999999998e-05,0.776,0.168,0.0,0.48
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,oracle,0.944,2.046636e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,logistic_router,0.792,1.9641520000000003e-05,0.792,0.152,0.0,0.68
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,random_forest_router,0.792,1.7669e-05,0.792,0.152,0.0,0.76
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",232,tfidf_logistic_router,0.792,1.563764e-05,0.792,0.152,0.0,0.768
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,always_mistral_nemo,0.728,8.0912e-06,0.728,0.176,0.0,0.824
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,always_llama_70b,0.872,5.3442104e-05,0.872,0.032,0.0,0.176
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,random,0.784,3.4087504000000006e-05,0.784,0.12,0.0,0.488
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,oracle,0.904,1.6399928e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,logistic_router,0.808,2.4440967999999998e-05,0.808,0.096,0.0,0.72
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,random_forest_router,0.816,2.3452967999999996e-05,0.816,0.088,0.0,0.792
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",233,tfidf_logistic_router,0.8,2.2139648e-05,0.8,0.104,0.0,0.776
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.184,0.0,0.816
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,always_deepseek_v3,0.872,7.173344e-05,0.872,0.032,0.0,0.184
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,random,0.816,4.8342816e-05,0.816,0.088,0.0,0.44
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,oracle,0.904,2.2491615999999997e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,logistic_router,0.792,2.6933952000000002e-05,0.792,0.112,0.0,0.744
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",229,random_forest_router,0.784,2.7438928000000002e-05,0.784,0.12,0.0,0.744
